report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2425.082,2261.464734986012,1960.343799836106,2604.9649206679615,1659.2228646862,2948.4651063499105
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2358.9434,2295.552765188809,1985.1427954855249,2624.1566307551575,1674.7328257822403,2952.760496321506
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2358.9434,2295.552765188809,1985.1427954855249,2624.1566307551575,1674.7328257822403,2952.760496321506
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,2425.082,2317.945281391607,2002.1407592196817,2639.7533635222053,1686.336237047756,2961.5614456528047
2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2645.544,2334.8262475944052,2014.355299151323,2648.9770671305487,1693.8843507082408,2963.127886666692
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2766.93,2356.1164537972027,2032.7232782370543,2673.13187010306,1709.3301026769054,2990.1472864089183
2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,2338.0,2376.08055,2049.947165033901,2695.78213500465,1723.813780067801,3015.4837200093007
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2755.775,2402.9786680000007,2073.153331482613,2726.299394181595,1743.3279949652253,3049.62012036319
2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,2336.8972,2402.9786680000007,2073.153331482613,2726.299394181595,1743.3279949652253,3049.62012036319
2017-000043356 Titan Mining Corporation-f1-02662712_1-2-1,2017-08-17,,2314.851,2440.455624,2105.4863177133616,2768.8188737754817,1770.5170114267228,3097.1821235509624
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2535.313,2465.1491220000003,2126.7904634081997,2796.8348813805997,1788.4318048163982,3128.5206407611986
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1944.0,2482.3502500000004,2141.630618376424,2816.3504207693327,1800.9109867528484,3150.3505915386654
