,report_id,effective_date,report_type,pb_price_usd_dmt,reported_lead_price_rolling_40_mean,reported_lead_price_rolling_40_std,reported_lead_price_upper_1STD,reported_lead_price_lower_1STD,reported_lead_price_upper_2STD,reported_lead_price_lower_2STD
72,2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2204.62,2123.30082337577,210.56353899803324,2333.8643623738035,1912.7372843777368,2544.4279013718365,1702.1737453797036
73,"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,1918.0194,2116.13580837577,212.59189934141395,2328.727707717184,1903.5439090343561,2541.3196070585977,1690.952009692942
74,2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,2403.0358,2123.85197837577,217.3308019338203,2341.1827803095903,1906.5211764419498,2558.513582243411,1689.1903745081295
75,2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2403.0358,2128.81237337577,221.44689318186292,2350.259266557633,1907.3654801939074,2571.706159739496,1685.9185870120443
76,2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,2160.5276,2126.9935618757704,220.86487158652665,2347.858433462297,1906.1286902892439,2568.723305048824,1685.2638187027171
77,2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,1984.158,2124.23778687577,221.9670532830708,2346.204840158841,1902.2707335926991,2568.1718934419114,1680.3036803096284
78,2019-000008916 Tinka Resources Limited-f1-02937617_2-2-1,2019-07-02,,2094.389,2121.48201187577,221.62751235308144,2343.109524228851,1899.8544995226885,2564.7370365819324,1678.226987169607
79,2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,2314.851,2124.2377868757703,223.36627868590665,2347.604065561677,1900.8715081898636,2570.970344247584,1677.505229503957
80,"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,2006.2042,2119.27739187577,223.73826801543876,2343.0156598912085,1895.539123860331,2566.7539279066473,1671.8008558448923
81,2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2000.0,2116.91766687577,224.50393306399366,2341.421599939764,1892.4137338117764,2565.925533003757,1667.9098007477828
82,2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,1984.158,2112.50842687577,225.35580240768468,2337.8642292834547,1887.1526244680854,2563.2200316911394,1661.7968220604007
83,2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2094.389,2104.7922568757704,220.38223539270444,2325.1744922684748,1884.410021483066,2545.556727661179,1664.0277860903616
84,2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2204.62,2113.05958187577,217.68583115555262,2330.7454130313226,1895.3737507202175,2548.4312441868756,1677.687919564665
85,2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,2006.2042,2113.61073687577,217.37879182649073,2330.9895287022605,1896.2319450492791,2548.368320528751,1678.8531532227885
86,2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,1918.0194,2129.60326,173.44181044665007,2303.04507044665,1956.1614495533497,2476.4868808933,1782.7196391066998
87,2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,1918.0194,2130.70557,171.9085310766943,2302.614101076694,1958.7970389233058,2474.5226321533887,1786.8885078466114
88,2021-000003353 Excellon Resources Inc-f1-03239357_1-1-1,2021-03-31,,1895.9732,2127.9497949999995,174.81448788320625,2302.764282883206,1953.1353071167932,2477.578770766412,1778.320819233587
89,2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021-03-31,,2116.4352,2128.50095,174.7407023933888,2303.241652393389,1953.7602476066113,2477.9823547867777,1779.0195452132225
90,2021-000045902 NorZinc Ltd-f1-03299714_1-1-1,2021-10-15,,2314.851,2134.563655,176.93549146738218,2311.499146467382,1957.6281635326177,2488.4346379347644,1780.6926720652355
91,2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2094.389,2131.80788,176.67461741327406,2308.482497413274,1955.1332625867258,2485.157114826548,1778.4586451734517
92,2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,1970.0,2125.9423799999995,178.08431586219564,2304.026695862195,1947.858064137804,2482.1110117243907,1769.7737482756083
93,2022-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-03358989_1-1-1,2022-01-26,,2314.851,2132.005085,180.3266419972088,2312.3317269972085,1951.678443002791,2492.6583689944173,1771.3518010055823
94,2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2022-03-31,,2094.389,2132.55624,180.17323896109457,2312.7294789610946,1952.3830010389054,2492.902717922189,1772.2097620778109
95,2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,2116.4352,2130.3516200000004,179.80799830496574,2310.159618304966,1950.5436216950347,2489.9676166099316,1770.735623390069
96,2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022-08-29,,2094.389,2126.845345,179.08823345951348,2305.9335784595137,1947.7571115404867,2485.021811919027,1768.6688780809732
97,2022-000007638 Southern Silver Exploration Corp-f1-03445449_1-1-1,2022-10-13,,2072.3428,2130.328915,176.55828691222703,2306.8872019122273,1953.770628087773,2483.445488824454,1777.212341175546
98,2023-000029200 Silver X Mining Corp-f1-03516759_1-1-1,2022-10-31,,2050.3,2133.0847750000003,174.35897438871768,2307.443749388718,1958.7258006112825,2481.802723777436,1784.366826222565
99,2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2094.389,2129.7778449999996,173.79205630118375,2303.5699013011836,1955.985788698816,2477.361957602367,1782.1937323976322
100,2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2204.62,2133.6359299999995,173.69529476865026,2307.33122476865,1959.9406352313492,2481.0265195373,1786.245340462699
101,2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2100.0,2140.0359299999996,167.35009866513326,2307.386028665133,1972.6858313348662,2474.736127330266,1805.335732669733
102,2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,2204.62,2142.791705,167.48668936406662,2310.2783943640666,1975.3050156359334,2477.7650837281335,1807.818326271867
