,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
142,2010-000026272 Magellan Minerals Ltd-f1-01580466_1-1-1,2010-04-30,,950.0,841.4013898232421,159.5603781558041,1000.9617679790462,681.841011667438,1160.5221461348503,522.2806335116338
143,2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,925.0,840.7763898232421,159.1725802071987,999.9489700304408,681.6038096160433,1159.1215502376394,522.4312294088447
144,2010-000015923 Keegan Resources Inc-f1-01585013_1-1-1,2010-05-01,PEA,850.0,853.9013898232421,135.42617129454354,989.3275611177856,718.4752185286985,1124.753732412329,583.0490472341551
145,2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,900.0,857.6513898232421,134.54927131471302,992.2006611379551,723.1021185085291,1126.7499324526682,588.552847193816
146,2010-000029039 Randgold Resources Limited-f1-01585423_2-1-1,2010-05-24,PFS,800.0,865.1513898232421,121.86540664649888,987.0167964697409,743.2859831767432,1108.88220311624,621.4205765302443
147,2010-000029039 Randgold Resources Limited-f1-01590553_3-1-1,2010-05-31,PFS,800.0,865.1513898232421,121.86540664649888,987.0167964697409,743.2859831767432,1108.88220311624,621.4205765302443
148,2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,878.0,863.351389823242,121.10941400683629,984.4608038300782,742.2419758164058,1105.5702178369147,621.1325618095694
149,2010-000005241 Oromin Explorations Ltd-f1-01647230_1-7-1,2010-06-02,FS,880.0,866.601389823242,119.72599646244055,986.3273862856826,746.8753933608015,1106.053382748123,627.1493968983609
150,2010-000005427 Mega Precious Metals Inc. ( Mega Silver Inc.)-f1-01609435_1-1-1,2010-06-06,MRE,968.0,871.6083898232421,119.6725877251431,991.2809775483852,751.935802098099,1110.9535652735283,632.2632143729559
151,2010-000005974 Sona Resources Corp. ( J-Pacific Gold Inc.)-f1-01597225_2-1-1,2010-06-10,PEA,950.0,875.3583898232421,119.7213200936282,995.0797099168702,755.6370697296139,1114.8010300104984,635.9157496359857
152,2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,1050.0,881.6083898232421,122.18658388750748,1003.7949737107496,759.4218059357346,1125.981557598257,637.2352220482271
153,2010-000011539 Alexis Minerals Corporation-f1-01604138_2-1-1,2010-06-28,,1127.0,889.783389823242,127.41379972533434,1017.1971895485764,762.3695900979077,1144.6109892739107,634.9557903725733
154,2010-000027114 Treasury Metals Inc-f1-01625565_1-1-1,2010-07-09,PEA,850.0,883.492377323242,122.81453470942732,1006.3069120326693,760.6778426138146,1129.1214467420966,637.8633079043873
