,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
279,2016-000024066 AQM Copper Inc-f1-02506315_1-1-1,2016-06-01,PFS,1.15,1.1826349999999999,0.10038329503994592,1.2830182950399458,1.082251704960054,1.3834015900798917,0.981868409920108
280,2016-000019932 New Millennium Iron Corp-f1-02509255_1-1-1,2016-06-09,PFS,1.35,1.1886075,0.10308850911492695,1.291696009114927,1.085518990885073,1.394784518229854,0.9824304817701461
281,2016-000009080 Klondex Mines Ltd-f1-02545180_2-1-1,2016-06-30,,1.25,1.1948575,0.0988518883974581,1.293709388397458,1.0960056116025418,1.392561276794916,0.9971537232050838
282,2016-000023243 Peregrine Diamonds Ltd-f1-02520978_2-1-1,2016-07-07,PEA,1.28,1.1987675,0.0990540163114844,1.2978215163114843,1.0997134836885156,1.3968755326229687,1.0006594673770313
283,2016-000008335 Gensource Potash Corporation-f1-02494168_2-2-1,2016-07-15,,1.31,1.20374,0.09953150203546525,1.3032715020354653,1.1042084979645348,1.4028030040709305,1.0046769959290696
284,2016-000000204 GoldQuest Mining Corp-f1-02552025_1-1-1,2016-09-27,,1.28,1.209425,0.09714300785110012,1.3065680078511002,1.1122819921488998,1.4037110157022001,1.0151389842977998
285,2016-000032329 Copper North Mining Corp-f1-02557849_2-1-1,2016-10-12,PEA,1.2821,1.2164775,0.0916329228917873,1.3081104228917875,1.1248445771082127,1.3997433457835746,1.0332116542164256
286,2016-000007482 Avalon Advanced Materials Inc-f1-02551917_1-1-1,2016-10-21,PEA,1.3,1.2212,0.0909277848145548,1.312127784814555,1.1302722151854452,1.4030555696291096,1.0393444303708905
287,2017-000009025 IAMGOLD Corporation-f1-02583085_1-1-1,2016-12-09,PEA,1.3514,1.22867,0.08897430686468547,1.3176443068646855,1.1396956931353144,1.4066186137293708,1.050721386270629
288,2017-000030076 Dalradian Resources Inc-f1-02565362_1-2-1,2016-12-12,,1.3333,1.2335025,0.089283703648423,1.322786203648423,1.1442187963515769,1.412069907296846,1.054935092703154
289,2017-000003878 Resource Capital Gold Corp-f1-02576168_1-1-1,2016-12-30,,1.33,1.2410025,0.0842067220883923,1.3252092220883922,1.1567957779116078,1.4094159441767846,1.0725890558232154
