date,lead_price,lead_price_quarterly,lead_price_yearly,lead_price_5y,lead_price_3y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y
2014-11-01,2030.1825,2060.5606686429533,2112.0098250360747,2175.999303339321,2101.989849350952,2030.1825,2030.1825,2030.1825
2014-12-01,1938.10714285714,2000.8501708074534,2095.4581286075036,2169.5300414345593,2099.5883116525397,1938.10714285714,1938.10714285714,1938.10714285714
2015-01-01,1843.13095238095,1937.1401984126967,2070.4548367604616,2161.046390640908,2092.4471079488358,1843.13095238095,1843.13095238095,1843.13095238095
2015-02-01,1795.6625,1858.9668650793635,2044.4246284271283,2155.5445156409082,2083.402680038783,1795.6625,1795.6625,1795.6625
2015-03-01,1792.47045454545,1810.4213023087998,2022.706888528138,2149.3744217673902,2076.0631598367627,1792.47045454545,1792.47045454545,1792.47045454545
2015-04-01,2005.3625,1864.4984848484835,2015.8964718614716,2144.9279634340573,2074.166431035593,2005.3625,2005.3625,2005.3625
2015-05-01,1991.77631578947,1929.8697567783065,2007.100748177261,2146.8444108024783,2073.9588286964117,1991.77631578947,1991.77631578947,1991.77631578947
2015-06-01,1829.5,1942.21293859649,1983.9807084947208,2148.8813426206602,2073.3627760648324,1829.5,1829.5,1829.5
2015-07-01,1763.04347826087,1861.4399313501133,1948.1310708135616,2147.5326354401595,2070.072948440766,1763.04347826087,1763.04347826087,1763.04347826087
2015-08-01,1703.6,1765.38115942029,1903.6946124802282,2141.212675122699,2064.6792615720788,1703.6,1703.6,1703.6
2015-09-01,1684.25,1716.9644927536235,1867.6122261165917,2132.7359705772446,2050.973011572079,1684.25,1684.25,1684.25
2015-10-01,1720.11363636364,1702.6545454545467,1841.43329001646,2121.6787375325116,2039.254851712615,1720.11363636364,1720.11363636364,1720.11363636364
2015-11-01,1618.34523809524,1674.2362914862933,1807.1135181910631,2109.2348702886443,2023.598721962735,1618.34523809524,1618.34523809524,1618.34523809524
2015-12-01,1706.58333333333,1681.6807359307368,1787.8198673974123,2097.45788616166,2007.6759636781344,1706.58333333333,1706.58333333333,1706.58333333333
2016-01-01,1646.2,1657.0428571428567,1771.408954699,2081.8283028283267,1988.5574662033869,1646.2,1646.2,1646.2
