report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2226.6662,2156.952304721746,1968.0399750316396,2347.253143547456,1779.1276453415337,2537.553982373166
2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,1940.0656,2156.952304721746,1968.0399750316396,2347.253143547456,1779.1276453415337,2537.553982373166
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2050.2966,2157.637648129103,1966.8219779770852,2344.012781559748,1776.006307825067,2530.3879149903923
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1844.0,2158.3458363167056,1967.4675359062064,2344.7821425156662,1776.5892354957073,2531.2184487146264
2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017-10-21,,2094.389,2160.2378825454903,1973.2119940943876,2344.2165334677934,1786.186105643285,2528.1951843900965
2018-000003827 Arizona Mining Inc-f1-02718639_1-1-1,2018-01-01,,2204.62,2160.793167944462,1971.865824792154,2343.028920954404,1782.9384816398458,2525.264673964346
"2018-000014867 LeadFX Inc. (, Ivernia Inc.)-f1-02756317_1-1-1",2018-02-28,FS,2250.0,2160.5773162092773,1976.1587319748378,2338.888993048302,1791.7401477403985,2517.2006698873265
2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,2314.851,2160.354269416253,1975.954723599684,2338.6475382828435,1791.5551777831151,2516.9408071494345
2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,2346.4,2160.1237877301287,1976.9480982157565,2336.7914057499047,1793.7724087013846,2513.4590237696807
2018-000003353 Excellon Resources Inc-f1-02820544_1-1-1,2018-03-31,,2425.082,2159.8856233211327,1976.7301298390823,2336.5337628558914,1793.5746363570317,2513.1819023906505
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2425.082,2160.421133111551,1977.220229095318,2337.1130697840654,1794.0193250790849,2513.805006456579
2018-000003467 Aurcana Corporation-f1-02825402_2-1-1,2018-06-15,,2204.62,2159.8499393263805,1976.6974718007036,2336.4951604143403,1793.545004275027,2513.1403815022995
2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,2425.082,2159.8321643582135,1979.9946762409327,2336.892854129948,1800.1571881236518,2513.9535439016827
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2204.62,2159.339321392376,1979.5428696308245,2336.35960843425,1799.746417869273,2513.379895476124
"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,1918.0194,2159.24243772359,1980.0973280907117,2337.883127830011,1800.9522184578336,2516.5238179364314
2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,2403.0358,2158.810318092154,1979.7010599771024,2337.4152576279953,1800.5918018620512,2516.0201971638367
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2403.0358,2156.6445662814135,1977.7149933368619,2335.070326586933,1798.7854203923102,2513.4960868924522
2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,2160.5276,2154.399309280364,1975.6560177855374,2332.639312649503,1796.912726290711,2510.879316018642
2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,1984.158,2154.0997013674873,1975.3812673372333,2332.3149172633057,1796.6628333069793,2510.5301331591245
2019-000008916 Tinka Resources Limited-f1-02937617_2-2-1,2019-07-02,,2094.389,2146.8573232792996,1968.7397650904722,2324.473355221949,1790.6222069016446,2502.0893871645985
2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,2314.851,2138.5359655166917,1961.1088024973146,2315.4635462380406,1783.6816394779378,2492.3911269593896
"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,2006.2042,2137.691067478359,1960.334002818046,2314.5487472168443,1782.9769381577328,2491.40642695533
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2000.0,2134.7863143517116,1957.6702473247528,2311.403675034742,1780.5541802977941,2488.021035717772
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,1984.158,2131.1599877536955,1954.3447848930837,2307.477331414689,1777.5295820324716,2483.794675075683
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2094.389,2129.1455508655918,1952.497479083391,2305.29623403975,1775.8494073011902,2481.446917213908
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2204.62,2125.9269864578,1949.545948179397,2301.811388015353,1773.1649099009942,2477.6957895729056
2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,2006.2042,2122.2864027260493,1946.2074114806048,2297.869607725556,1770.12842023516,2473.452812725062
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,1918.0194,2122.4983913077435,1946.4018120800301,2298.099134766974,1770.305232852317,2473.6998782262044
2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,1918.0194,2122.4983913077435,1946.4018120800301,2298.099134766974,1770.305232852317,2473.6998782262044
2021-000003353 Excellon Resources Inc-f1-03239357_1-1-1,2021-03-31,,1895.9732,2123.1160505769094,1946.9682262293534,2298.767894864915,1770.8204018817976,2474.419739152921
2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021-03-31,,2116.4352,2123.1160505769094,1946.9682262293534,2298.767894864915,1770.8204018817976,2474.419739152921
2021-000045902 NorZinc Ltd-f1-03299714_1-1-1,2021-10-15,,2314.851,2122.010169144743,1945.954096073906,2297.5705205004283,1769.8980230030686,2473.1308718561136
2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2094.389,2122.8470774495677,1946.7215689010827,2298.4766687731776,1770.5960603525978,2474.1062600967875
2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,1970.0,2123.7118826978867,1947.5146241558325,2299.4130219883523,1771.3173656137783,2475.114161278818
2022-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-03358989_1-1-1,2022-01-26,,2314.851,2124.635611270593,1948.3617140641918,2300.4131734336443,1772.0878168577906,2476.190735596695
2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2022-03-31,,2094.389,2125.7407729525567,1949.3751841846993,2301.6097685008062,1773.0095954168419,2477.4787640490554
2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,2116.4352,2136.8996471741643,1959.608244004513,2313.6918503052825,1782.3168408348615,2490.484053436401
2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022-08-29,,2094.389,2136.377880086932,1959.129766184114,2313.12691584096,1781.881652281296,2489.8759515949882
2022-000007638 Southern Silver Exploration Corp-f1-03445449_1-1-1,2022-10-13,,2072.3428,2137.025864756496,1959.7239897369823,2313.8285102518516,1782.4221147174683,2490.6311557472072
2023-000029200 Silver X Mining Corp-f1-03516759_1-1-1,2022-10-31,,2050.3,2138.387352545548,1960.972519446398,2315.3026380640704,1783.5576863472484,2492.2179235825924
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2094.389,2138.387352545548,1960.972519446398,2315.3026380640704,1783.5576863472484,2492.2179235825924
2024-000103253 Emerging Goldfields Resources Ltd-f1-1_1-.pdf (855b9b53b00f0ef4),2023-01-15,PFS,1920.0,2138.1724062061976,1960.775406484558,2315.0699085607143,1783.3784067629185,2491.9674109152315
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2204.62,2138.78222530196,1961.3346309333933,2315.7301798438752,1783.8870365648268,2492.678134385791
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2100.0,2139.412371700914,1961.9124961971893,2316.4124601698077,1784.4126206934648,2493.412548638702
2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,2204.62,2128.1517918353993,1951.5861689099374,2304.2202583043595,1775.0205459844756,2480.2887247733197
2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023-07-24,,2314.851,2138.451641401267,1961.0314744711843,2315.372245732235,1783.6113075411015,2492.2928500632033
2024-000028186 Revival Gold Inc-f1-06219923_2-1-1,2023-09-30,FS,2314.851,2138.3847299184636,1960.970114409895,2315.2997984590756,1783.555498901326,2492.2148669996873
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,FS,2094.389,2138.3847299184636,1960.970114409895,2315.2997984590756,1783.555498901326,2492.2148669996873
2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,2094.389,2138.349592249079,1960.9378919951957,2315.261753743498,1783.5261917413127,2492.1739152379173
