report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,5732.012,6378.034808927585,5380.103284126195,6812.917070061051,4382.171759324804,7247.799331194517
2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,6040.6588,6378.034808927585,5380.103284126195,6812.917070061051,4382.171759324804,7247.799331194517
2017-000043521 VM Holding S.A-f1-02677003_1-1-5,2017-08-02,PEA,6040.6588,6391.212979513547,5391.219548143611,6826.993785856269,4391.226116773674,7262.774592198991
2017-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-02683877_1-1-1,2017-09-01,PEA,6613.86,6421.834427659098,5423.485467848981,6851.894556854293,4425.136508038864,7281.954686049488
2017-000007056 eCobalt Solutions Inc-f1-02693937_1-1-1,2017-09-27,,5732.012,6431.915037420814,5437.9242037386675,6845.1089442511,4443.933370056521,7258.3028510813865
2017-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02687669_1-1-1,2017-10-05,,6613.86,6449.2820019492465,5454.839231808913,6851.466592679504,4460.396461668579,7253.651183409761
2017-000032328 NorthIsle Copper and Gold Inc-f1-02686281_2-1-1,2017-10-24,PEA,6834.322,6455.500010913014,5440.837032386482,6853.415196992356,4426.174053859949,7251.330383071698
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02810331_5-1-1,2017-10-31,,6613.86,6454.966765132491,5440.38760114411,6852.849082093465,4425.80843715573,7250.73139905444
2017-000004947 Yorbeau Resources Inc-f1-02711026_2-1-1,2017-12-06,,7716.17,6477.201133055977,5461.745586368788,6873.494692302142,4446.2900396816,7269.788251548306
2018-000008808 Aura Minerals Inc-f1-02820570_1-1-1,2018-01-31,FS,6746.1372,6510.839538669884,5469.706960398885,6906.072451798401,4428.574382127886,7301.305364926917
2018-000029868 Tahoe Resources Inc-f1-02730867_1-1-1,2018-02-20,PEA,7275.245999999999,6521.878383377354,5473.138517011443,6934.420705830863,4424.398650645531,7346.963028284372
2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,6613.86,6521.679521790085,5472.9716330328,6934.209265226285,4424.263744275515,7346.7390086624855
2018-000005247 Deep-South Resources Inc-f1-02736873_2-1-1,2018-03-02,PEA,6613.86,6525.154666261118,5475.887962644997,6937.904230443224,4426.621259028876,7350.65379462533
2018-000004884 Nevsun Resources Ltd-f1-02771114_1-1-1,2018-03-08,,6944.553,6524.452619658865,5475.298807485446,6937.157775785693,4426.144995312027,7349.862931912521
2018-000012057 Gold Reserve Inc-f1-02754631_1-1-1,2018-03-16,PEA,6613.86,6523.727171503203,5474.6900138205765,6936.386439306244,4425.652856137951,7349.045707109285
2018-000005623 Cardero Resource Corp-f1-02737920_1-2-1,2018-03-22,PEA,6613.86,6522.977541742352,5474.060927033544,6935.5893916108125,4425.144312324737,7348.201241479273
2018-000005277 Polymet Mining Corp-f1-02745589_1-1-1,2018-03-26,FS,7098.8764,6522.202924322807,5473.410870686947,6934.765775658871,4424.618817051087,7347.328626994934
2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,6274.2,6521.40248632261,5473.471269181932,6932.108363108057,4425.540052041255,7342.814239893504
2018-000007860 Torex Gold Resources Inc-f1-02819812_1-1-1,2018-03-31,PEA,6613.86,6522.401243286004,5474.309534808919,6933.170019939264,4426.217826331835,7343.938796592525
2018-000034410 East Africa Metals Inc-f1-02785045_1-1-1,2018-04-30,,7054.784,6521.641098514942,5476.594693827312,6924.960076234711,4431.548289139682,7328.279053954479
2018-000034410 East Africa Metals Inc-f1-02785058_3-1-1,2018-04-30,PEA,6613.86,6521.641098514942,5476.594693827312,6924.960076234711,4431.548289139682,7328.279053954479
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,5089.166329861651,6521.585468961025,5476.5479785120715,6924.9010063726755,4431.510488063118,7328.216543784325
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,2425.082,6520.470499782101,5475.611675180312,6923.717083962097,4430.752850578523,7326.9636681420925
2018-000019503 Panoro Minerals Ltd-f1-02789096_1-1-1,2018-06-11,PEA,7054.784,6519.6347046729725,5474.909810267687,6922.829600631568,4430.184915862403,7326.024496590162
2018-000025132 Coro Mining Corp-f1-02792182_2-1-1,2018-06-13,FS,6613.86,6519.067104462225,5474.433163936582,6922.226898222877,4429.799223410939,7325.386691983529
2018-000024140 Highland Copper Company Inc-f1-02801230_1-1-1,2018-06-14,,6834.322,6518.480584244452,5473.9406293944385,6921.604105733896,4429.400674544426,7324.727627223341
2018-000004884 Nevsun Resources Ltd-f1-02803204_2-1-1,2018-06-19,,6944.553,6517.8745133527555,5473.431677034226,6920.960553495284,4428.988840715696,7324.046593637814
2018-000001604 Lumina Gold Corp-f1-02789909_2-10-1,2018-06-27,PEA,7165.014999999999,6517.248240098002,5472.905759595339,6920.2955495153865,4428.563279092677,7323.342858932771
2018-000009698 Minera Alamos Inc-f1-02858872_2-1-1,2018-07-13,PEA,5725.0,6515.503131502771,5471.440292187915,6918.442517867659,4427.377452873059,7321.381904232548
2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,6613.86,6515.503131502771,5471.440292187915,6918.442517867659,4427.377452873059,7321.381904232548
2018-000013198 Nevada Copper Corp-f1-02830221_1-1-1,2018-08-17,FS,7054.784,6512.578159970233,5445.390166666593,6917.123718261325,4378.202173362953,7321.669276552417
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,6613.86,6511.244611111862,5444.27514068736,6915.707332582547,4377.305670262859,7320.170054053232
2018-000005627 Azarga Metals Corp-f1-02830929_2-1-1,2018-08-30,PEA,7165.014999999999,6511.244611111862,5444.27514068736,6915.707332582547,4377.305670262859,7320.170054053232
2018-000025279 Copper Mountain Mining Corporation-f1-02843445_2-1-1,2018-10-01,FS,6790.2296,6502.9416094542985,5437.332715971783,6906.8885686019,4371.723822489266,7310.835527749501
2018-000010633 Sprott Resource Holdings Inc. ( Adriana Resources Inc. )-f1-02856944_2-1-1,2018-10-04,FS,6062.705,6503.4832856251505,5437.785630013169,6907.463892382588,4372.087974401187,7311.444499140024
"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,6591.8138,6504.043017668365,5438.253641189269,6908.058393622633,4372.464264710172,7312.0737695769
2018-000002899 NGEx Resources Inc-f1-02858390_2-1-1,2018-11-20,PFS,6613.86,6502.275123459873,5425.726843129809,6932.178890900018,4349.178562799745,7362.082658340162
2020-000008938 THEMAC Resources Group Limited-f1-03043389_1-1-1,2018-12-11,FS,7165.014999999999,6502.794583430909,5504.435918510147,6952.161488345153,4506.077253589385,7401.528393259397
2019-000039553 Filo Mining Corp-f1-02877026_1-1-1,2019-01-13,PFS,6613.86,6512.369320675658,5509.221243600536,6975.68721573149,4506.0731665254125,7439.005110787322
2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,5908.3816,6535.7431030353055,5464.833717485148,7120.991332365926,4393.92433193499,7706.239561696547
