report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,1.2987,1.2948084395781307,1.2638249489311575,1.32646958296349,1.232841458284184,1.3581307263488493
2018-000030782 Marathon Gold Corporation-f1-02777286_2-1-1,2018-05-28,PEA,1.2658,1.2954836037116055,1.2644839570519162,1.327161256464517,1.2334843103922266,1.3588389092174284
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1.33,1.2955835016131034,1.2648247584785042,1.3268096357029466,1.234066015343905,1.3580357697927898
2018-000024140 Highland Copper Company Inc-f1-02801230_1-1-1,2018-06-14,,1.2821,1.296005388289187,1.2652366290468762,1.3272416906853586,1.2344678698045652,1.3584779930815298
2018-000004884 Nevsun Resources Ltd-f1-02803204_2-1-1,2018-06-19,,1.29,1.2961100123432712,1.2653387691974518,1.327348836386822,1.2345675260516322,1.358587660430373
2018-000034095 Nouveau Monde Graphite Inc. (auparavant Nouveau Monde Mining Enterprises Inc.)-f1-02855650_2-1-1,2018-07-10,FS,1.307,1.2965465533586387,1.264258597562154,1.333248882060663,1.2319706417656693,1.369951210762687
2018-000033780 Osisko Mining Inc. ( Oban Mining Corporation)-f1-02801521_3-1-1,2018-07-12,,1.28,1.29669610513726,1.2644044250462603,1.3334026673151458,1.2321127449552602,1.3701092294930315
2018-000007482 Avalon Advanced Materials Inc-f1-02820730_1-1-1,2018-07-24,PEA,1.3,1.2972442004616345,1.264938871128685,1.3339662779904369,1.2326335417957355,1.3706883555192393
2018-000027103 Lithium Americas Corp-f1-02802223_2-1-1,2018-08-01,PFS,1.3029,1.2973504515881336,1.2650424762787116,1.334075536848328,1.2327345009692896,1.3708006221085225
2018-000007482 Avalon Advanced Materials Inc-f1-02826804_2-1-1,2018-08-21,PEA,1.3,1.2987314537120689,1.2663890872460648,1.3354956320489906,1.2340467207800607,1.3722598103859123
2018-000009025 IAMGOLD Corporation-f1-02832861_5-1-1,2018-08-30,FS,1.25,1.2992696290449932,1.2658218356797493,1.337753356293539,1.2323740423145055,1.376237083542085
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,1.33,1.2992696290449932,1.2658218356797493,1.337753356293539,1.2323740423145055,1.376237083542085
2018-000016084 Velocity Minerals Ltd-f1-02822887_2-2-1,2018-09-10,PEA,1.3333,1.3000653609334634,1.2665970826163782,1.3385726573690926,1.233128804299293,1.3770799538047218
2018-000005206 Alderon Iron Ore Corp-f1-02825375_1-2-1,2018-09-26,FS,1.2987,1.3009986586965256,1.2664797866347555,1.3384389196935786,1.2319609145729853,1.3758791806906319
2018-000008403 Desert Lion Energy Inc-f1-02846696_1-1-1,2018-10-01,PEA,1.38,1.3009991695419652,1.266480283926139,1.338439445240176,1.2319613983103133,1.3758797209383868
2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,1.3,1.301396416096315,1.267133505947487,1.3394610727396403,1.2328705957986592,1.377525729382966
2018-000031788 Horizonte Minerals PLC-f1-02855919_3-1-1,2018-11-01,FS,1.25,1.301421476890991,1.2671579069464654,1.339486866539673,1.2328943370019396,1.377552256188355
2018-000009025 IAMGOLD Corporation-f1-02846935_7-1-1,2018-11-01,FS,1.3,1.301421476890991,1.2671579069464654,1.339486866539673,1.2328943370019396,1.377552256188355
2018-000029072 Colonial Coal International Corp-f1-02859799_3-1-1,2018-11-12,,1.3,1.3018924059969705,1.2677657126448154,1.3399558679076555,1.2336390192926605,1.3780193298183405
2019-000031511 International Lithium Corp-f1-02865871_1-1-1,2018-11-14,,1.3,1.3018462639746473,1.2677207801499764,1.3399083768298334,1.2335952963253056,1.3779704896850196
2018-000002899 NGEx Resources Inc-f1-02858390_2-1-1,2018-11-20,PFS,1.3,1.3017985838849135,1.2681111249467563,1.339456179485102,1.234423666008599,1.3771137750852904
2018-000031351 Monarques Gold Corporation ( know as MONARQUES RESOURCES INC.)-f1-02853662_4-1-1,2018-12-01,,1.3158,1.3020977532939737,1.2672974344919299,1.3386969461690177,1.232497115689886,1.3752961390440617
2018-000031521 Mason Graphite Inc-f1-02856062_1-1-1,2018-12-05,FS,1.3099,1.3023374987941334,1.2675307724702152,1.3389434304042525,1.2327240461462967,1.3755493620143715
2019-000039553 Filo Mining Corp-f1-02877026_1-1-1,2019-01-13,PFS,1.3,1.302877418786096,1.2673599214530606,1.339045662646695,1.2318424241200254,1.3752139065072937
2019-000007910 ABCOURT MINES INC-f1-02872804_2-1-1,2019-01-15,FS,1.25,1.3027821105234105,1.2677786651270369,1.3385611508240849,1.232775219730663,1.3743401911247595
2019-000043028 Euro Manganese Inc-f1-02886256_2-1-1,2019-01-29,PEA,1.31,1.302971380318973,1.2679628495787796,1.3387556186428538,1.232954318838586,1.3745398569667344
2019-000016221 Bluestone Resources Inc-f1-02873902_1-1-1,2019-01-29,,1.28,1.302971380318973,1.2679628495787796,1.3387556186428538,1.232954318838586,1.3745398569667344
2019-000023296 Pure Gold Mining Inc-f1-02888277_1-1-1,2019-02-05,,1.3333,1.3028569818851612,1.2677444333350907,1.3386536796323725,1.2326318847850202,1.3744503773795838
2019-000037742 SilverCrest Metals Inc-f1-02917144_2-2-1,2019-02-08,,1.3333,1.302738770170222,1.2676294074760341,1.3385322199868555,1.2325200447818463,1.3743256698034891
2019-000000171 Harte Gold Corp-f1-02911334_1-1-1,2019-02-14,,1.2987,1.3026166180647853,1.267510547421676,1.3384067116864882,1.2324044767785665,1.3741968053081912
2019-000000187 Canarc Resource Corp-f1-02903000_1-1-1,2019-02-28,,1.3,1.3033870169319528,1.2683228289351736,1.3391605150452182,1.2332586409383943,1.3749340131584837
2019-000034463 Fission Uranium Corp-f1-02926146_1-1-1,2019-04-15,PFS,1.3333,1.3051522006691911,1.2702331964565827,1.3411651785782814,1.2353141922439743,1.3771781564873715
2020-000024599 Sama Resources Inc-f1-_1-Ressources Sama Inc__-03067250 -1-,2019-05-22,PEA,1.3298,1.3062092353057702,1.2715352291763398,1.3425024077067995,1.2368612230469092,1.3787955801078287
2019-000024867 Canadian Premium Sand Inc-f1-02929984_1-1-1,2019-05-28,PFS,1.3333,1.3067994403905299,1.2721097669589756,1.343109011707073,1.237420093527421,1.379418583023616
2019-000008697 SRG Mining Inc-f1-02952958_1-1-1,2019-06-18,FS,1.3198,1.3080347618625001,1.2737580306435485,1.343749629353753,1.239481299424597,1.3794644968450056
2019-000012543 Standard Lithium Ltd-f1-02946539_2-1-1,2019-08-01,,1.3,1.309167520481085,1.2747978231921309,1.344124556290981,1.2404281259031769,1.379081592100877
2019-000023397 Lydian International Limited-f1-02975570_1-1-1,2019-09-16,FS,1.33,1.3098022628120687,1.275415901573367,1.3447762473394107,1.2410295403346654,1.3797502318667527
2019-000024140 Highland Copper Company Inc-f1-02983645_1-1-1,2019-09-22,,1.2821,1.3104959686848938,1.2755333039859458,1.3449457463784389,1.2405706392869977,1.379395524071984
2019-000009365 Rubicon Minerals Corporation-f1-02969144_2-1-1,2019-09-23,,1.2987,1.3111001399034747,1.2761213565469798,1.3455657998009076,1.2411425731904846,1.3800314596983407
2019-000002563 SEMAFO INC-f1-02986356_1-1-1,2019-09-30,PEA,1.3298,1.311126144566924,1.2761466674331488,1.3455924880642278,1.2411671902993735,1.3800588315615314
2019-000020308 Erdene Resource Development Corporation-f1-02997666_2-1-1,2019-10-15,PFS,1.32,1.3117998798707293,1.2767102286362715,1.3453712696995164,1.2416205774018134,1.3789426595283032
2019-000031788 Horizonte Minerals PLC-f1-02984697_2-1-1,2019-10-31,PFS,1.34,1.3123416944045292,1.2772375500424864,1.3459269502712754,1.2421334056804436,1.3795122061380214
2020-000009025 IAMGOLD Corporation-f1-03016840_2-1-1,2019-11-06,FS,1.25,1.3121124175513468,1.2770269167896164,1.3464819905160823,1.2419414160278859,1.3808515634808178
2019-000006065 Victoria Gold Corp-f1-02998460_1-1-1,2019-12-04,FS,1.3333,1.3139125942246739,1.2793636378469821,1.3478473810724205,1.2448146814692906,1.3817821679201674
2020-000003212 Taseko Mines Limited-f1-03007907_1-2-1,2019-12-31,PFS,1.25,1.315477450173781,1.2810675525574,1.3493525052139737,1.2466576549410189,1.3832275602541666
2020-000009025 IAMGOLD Corporation-f1-03017893_3-1-1,2019-12-31,FS,1.2987,1.315477450173781,1.2810675525574,1.3493525052139737,1.2466576549410189,1.3832275602541666
2020-000047809 Jervois Mining Limited-f1-03135491_1-1-1,2020-01-20,,1.3339,1.3158980696017117,1.2817408198345221,1.3495815761563328,1.2475835700673326,1.3832650827109538
2020-000025074 Vanadium One Iron Corp-f1-03042911_1-1-1,2020-02-27,PEA,1.3158,1.3173475908962184,1.2845667446954279,1.3497431309206698,1.251785898494637,1.3821386709451209
2020-000005837 KORE Mining Ltd-f1-03060233_1-1-1,2020-04-06,PEA,1.33,1.3181585456257503,1.28451189542311,1.3502687859632356,1.25086524522047,1.382379026300721
2020-000004132 Ascot Resources Ltd-f1-03061954_2-1-1,2020-05-22,,1.3158,1.319075773655483,1.2843357190593563,1.3510129955405237,1.2495956644632293,1.3829502174255643
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,1.41,1.3198610726753257,1.284534948374712,1.3515898633109187,1.249208824074098,1.3833186539465117
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,1.25,1.319780330653392,1.2844563674156066,1.3515071802917373,1.2491324041778216,1.3832340299300825
2020-000046596 Blue Lagoon Resources Inc-f1-03083518_1-1-1,2020-07-13,,1.4085,1.3196968972307275,1.2843751670911985,1.3514217411719167,1.2490534369516695,1.3831465851131062
2020-000030562 Teranga Gold Corporation-f1-03100145_1-1-1,2020-07-26,PFS,1.4085,1.3196231517753738,1.2837096712486025,1.3522070197635667,1.247796190721831,1.3847908877517596
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,1.32,1.3194439366260218,1.2838671706817162,1.3517899142061367,1.2482904047374106,1.3841358917862516
2020-000016084 Velocity Minerals Ltd-f1-03108368_1-2-1,2020-08-30,PFS,1.3333,1.3192941321934986,1.2836630440541819,1.3517914159730022,1.2480319559148654,1.3842886997525057
2020-000005620 Troilus Gold Corp-f1-03122905_2-1-1,2020-08-31,PEA,1.25,1.3191659365999486,1.2834327283224103,1.3518546192333183,1.247699520044872,1.384543301866688
2020-000002899 Josemaria Resources Inc-f1-03131257_1-1-1,2020-09-28,FS,1.31,1.3189786592345174,1.2830864334539664,1.3518973665200766,1.2471942076734155,1.3848160738056359
2020-000037125 Paramount Gold Nevada Corp-f1-03128464_1-1-1,2020-10-01,,1.3333,1.3189038367645567,1.2830136470631845,1.3518206766514511,1.2471234573618122,1.3847375165383458
2020-000005466 Niobay Metals Inc. ( MDN INC.)-f1-03143344_2-1-1,2020-10-13,PEA,1.3,1.3188265202122644,1.2829094282300937,1.351882848164903,1.2469923362479232,1.3849391761175414
2021-000008433 Metallum Resources Inc-f1-03288400_1-1-1,2020-10-15,,1.246,1.318561119365148,1.2826512553439655,1.3516107950573817,1.2467413913227827,1.3846604707496155
"2020-000011551 Sandfire Resources America Inc. (, Tintina Resources Inc.)-f1-03149838_1-1-1",2020-10-19,,1.34,1.3184723788995418,1.2829807149491514,1.3520527507982636,1.2474890509987613,1.3856331226969854
2020-000008288 Denison Mines Corp-f1-03156782_1-1-1,2020-10-30,,1.33,1.3183806804184155,1.28289148487899,1.3519587168346894,1.2474022893395647,1.3855367532509635
2020-000011471 E3 Metals Corp-f1-03153845_1-2-1,2020-11-16,,1.35,1.3180807328660686,1.282599611547917,1.3516511298728873,1.2471184902297654,1.385221526879706
2021-000000760 O3 Mining Inc-f1-03165344_1-1-1,2020-11-25,PEA,1.3333,1.3179817572949377,1.2825081341098359,1.351559979782543,1.247034510924734,1.3851382022701486
2020-000009365 Battle North Gold Corporation-f1-03147674_2-1-1,2020-12-01,,1.3158,1.3178794825381024,1.2824086120892697,1.3514550993716303,1.246937741640437,1.3850307162051583
2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,1.2987,1.3177737986227058,1.2823057726680178,1.3513467229470204,1.24683774671333,1.384919647271335
2021-000025889 Labrador Iron Mines Holdings Limited-f1-03198968_1-2-1,2020-12-31,PEA,1.33,1.3167432117991722,1.2813809427293594,1.3494813054123356,1.2460186736595464,1.3822193990254987
2021-000037742 SilverCrest Metals Inc-f1-03169049_1-1-1,2021-01-04,,1.325,1.3166579855258114,1.2812980052807166,1.3493939601641505,1.2459380250356216,1.3821299348024898
2021-000031522 Rockcliff Metals Corporation-f1-03163342_1-1-1,2021-01-12,,1.2987,1.3165699183766717,1.2806409285278,1.3487889798699877,1.2447119386789283,1.3810080413633037
