report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
"2014-000021638 Coeur Mining, Inc-f1-02257688_2-1-1",2014-08-29,FS,1.08,1.085676226837798,1.011587066867539,1.196391632338016,0.9374979068972802,1.307107037838234
2014-000031351 Monarques Resources Inc-f1-02268601_1-1-1,2014-10-07,,1.12,1.0961985085958759,1.0173022675859942,1.2100986231288773,0.9384060265761125,1.323998737661879
2014-000005672 Atlantic Gold Corporation (previously Spur Ventures Inc.)-f1-02268435_1-1-1,2014-10-14,PEA,1.1111,1.0965354383952868,1.017614947676571,1.210470561498763,0.9386944569578554,1.3244056846022392
2014-000024867 Claim Post Resources Inc-f1-02293444_2-1-1,2014-11-01,PEA,1.0,1.1014862781415948,1.0276068116333827,1.2359958802211344,0.9537273451251708,1.370505482300674
2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,1.1236,1.1023324131142034,1.0283961941964417,1.236945342199017,0.95445997527868,1.3715582712838308
2014-000032549 Lamêlée Iron Ore Ltd-f1-02294795_1-1-1,2014-11-25,PEA,1.1111,1.1031465673686136,1.0291557410688403,1.237858918086693,0.9551649147690673,1.3725712688047722
2015-000031701 Aurvista Gold Corporation-f1-02301905_1-1-1,2014-12-09,PEA,1.0526,1.1085100995742425,1.0328704854661837,1.242031302385248,0.957230871358125,1.3755525051962534
2015-000003348 SilverCrest Mines Inc-f1-02330093_1-1-1,2014-12-31,PFS,1.0,1.1209904762299316,1.0427996611788666,1.256397423202729,0.9646088461278015,1.3918043701755265
2015-000024464 Wellgreen Platinum Ltd-f1-02304935_1-2-1,2015-02-02,PEA,1.1111,1.1281324489852282,1.0470400748909516,1.2647128929317222,0.9659477007966748,1.4012933368782161
2015-000020738 Centerra Gold Inc-f1-02322271_1-1-1,2015-02-05,PEA,1.0526,1.127949941697404,1.0468706865850983,1.2645082898993627,0.9657914314727927,1.4010666381013217
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,1.14,1.1275029850741602,1.0440906673779728,1.2636940267889891,0.9606783496817854,1.399885068503818
2015-000000834 Agnico Eagle Mines Limited-f1-02319129_1-1-1,2015-02-11,FS,1.03,1.1275029850741602,1.0440906673779728,1.2636940267889891,0.9606783496817854,1.399885068503818
2015-000026555 Century Iron Mines Corporation-f1-02335584_1-1-1,2015-03-02,FS,1.25,1.1302704863376214,1.0434335742195828,1.2632078925008128,0.9565966621015445,1.3961452986640044
2015-000010633 Adriana Resources Inc-f1-02338952_1-1-1,2015-03-25,FS,1.1421,1.1306438891477577,1.0435553262614514,1.2623926727357215,0.9564667633751449,1.3941414563236851
2015-000025037 Eagle Hill Exploration Corporation-f1-02362821_1-1-1,2015-04-28,,1.1628,1.143571101259816,1.051840279786327,1.2741998938906864,0.960109458312838,1.404828686521557
2015-000027965 Ecuador Gold and Copper Corp-f1-02358631_1-1-1,2015-05-19,PEA,1.1048,1.1531577763704501,1.0592735165702973,1.2859071734067975,0.9653892567701448,1.4186565704431449
2015-000005733 Sabina Gold & Silver Corp-f1-02366270_1-1-1,2015-05-20,FS,1.1494,1.1543826968043238,1.060398710192624,1.287273104422524,0.966414723580924,1.4201635120407243
2015-000037240 TMAC Resources Inc-f1-02359475_1-1-1,2015-05-28,,1.1765,1.155782605871608,1.0616846457609967,1.2888341684404971,0.9675866856503856,1.4218857310093864
2015-000026119 B2Gold Corp-f1-02375336_2-1-1,2015-06-30,FS,1.25,1.1680157142857144,1.068648295296927,1.2956489957790849,0.9692808763081395,1.4232822772724556
2015-000005672 Atlantic Gold Corporation (previously Spur Ventures Inc.)-f1-02383572_3-1-1,2015-07-02,FS,1.25,1.1694409329446065,1.069952265330568,1.2972299532110563,0.9704635977165296,1.4250189734775058
2015-000026672 Western Potash Corp-f1-02384196_1-1-1,2015-07-02,,1.22,1.1694409329446065,1.069952265330568,1.2972299532110563,0.9704635977165296,1.4250189734775058
2015-000030647 Zenyatta Ventures Ltd-f1-02372294_1-1-1,2015-07-09,PEA,1.2195,1.170309637650979,1.0705727132459952,1.29710464105908,0.9708357888410116,1.4238996444671812
2015-000000162 Gowest Gold Ltd-f1-02372897_1-1-1,2015-07-15,,1.25,1.1702972818298498,1.0705614104210632,1.2970909465696774,0.9708255390122768,1.423884611309505
2015-000024152 Premier Gold Mines Limited-f1-02374821_2-1-1,2015-07-15,FS,1.1,1.1702972818298498,1.0705614104210632,1.2970909465696774,0.9708255390122768,1.423884611309505
2015-000024909 Rambler Metals and Mining plc-f1-02396630_1-1-1,2015-07-20,,1.1364,1.1728913152885359,1.0710942547508193,1.297854097938898,0.9692971942131028,1.4228168805892598
2015-000025718 First Bauxite Corporation-f1-02378841_1-1-1,2015-08-04,FS,1.248,1.1725929317583268,1.068748443747713,1.29204394764605,0.9649039557370991,1.411494963533773
2015-000005733 Sabina Gold & Silver Corp-f1-02409333_2-1-1,2015-09-14,FS,1.0,1.1828364340184014,1.0739258199576471,1.2973046613699593,0.9650152058968926,1.4117728887215168
2015-000010461 Rockex Mining Corporation ( Enviropave International Ltd.)-f1-02407947_1-1-1,2015-10-26,PEA,1.1765,1.2163246713014375,1.1000706121956423,1.324002716407078,0.9838165530898471,1.4316807615127185
2016-000002429 Radisson Mining Resources Inc-f1-02439942_1-2-1,2015-11-29,,1.25,1.2257458721885486,1.1083631113472374,1.3311493487519581,0.9909803505059263,1.4365528253153674
2016-000016002 Gold Reach Resources Ltd-f1-02457915_1-1-1,2016-01-01,PEA,1.25,1.2388217912650306,1.1193407397309634,1.3397135406822336,0.9998596881968961,1.4406052900994364
2016-000022947 Kaminak Gold Corporation-f1-02434651_1-2-1,2016-01-06,FS,1.1494,1.2391125233505111,1.1175894720493842,1.3380383865772416,0.996066420748257,1.436964249803972
2016-000023396 Plateau Uranium Inc-f1-02438046_1-2-1,2016-01-12,PEA,1.2611,1.2394447885910602,1.1178891511566225,1.3383971785658642,0.9963335137221848,1.437349568540668
2016-000002894 Abacus Mining & Exploration Corporation-f1-02446208_1-1-1,2016-02-19,FS,1.2,1.2469121126558655,1.1234591366887952,1.3383798249969328,1.0000061607217248,1.4298475373380002
2016-000037284 Continental Gold Inc-f1-02446260_1-2-1,2016-02-24,,1.3333,1.2492393494270284,1.1229900354251763,1.3396037416087658,0.9967407214233239,1.429968133790503
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1.3333,1.2498935422023183,1.1235781148578603,1.3403052557660917,0.9972626875134022,1.4307169693298651
