report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2014-000005703 Quaterra Resources Inc-f1-02157819_2-1-1,2012-05-23,PEA,6613.86,6651.1136525322,5686.666423322314,7594.919810816626,4722.2191941124265,8538.725969101051
2012-000007531 Seabridge Gold Inc-f1-01928341_1-1-1,2012-06-22,PFS,7605.939,6707.436598468325,5730.174118854347,7622.604067427825,4752.9116392403685,8537.771536387325
2012-000031148 Serabi Gold plc-f1-01928965_1-1-1,2012-06-28,,6613.86,6707.529927012607,5733.283379947522,7600.244980964544,4759.036832882437,8492.960034916481
2012-000008808 Aura Minerals Inc-f1-01957515_2-1-1,2012-07-12,PEA,5952.474,6819.844895491254,5829.284970563569,7727.508114302095,4838.725045635885,8635.171333112938
2012-000005386 Augusta Resource Corporation-f1-01952933_1-1-1,2012-07-24,FS,7716.17,6878.132272967749,5890.908146793272,7788.277884310702,4903.684020618794,8698.423495653655
2012-000011551 Tintina Resources Inc-f1-01957549_2-1-1,2012-08-30,,6547.7214,7029.318942532709,6166.431937062486,8146.16657156577,5303.544931592263,9263.014200598831
2012-000003339 Noront Resources Ltd-f1-01971248_1-1-1,2012-09-04,,7936.632,7030.068813281009,6230.000659957972,8114.212170125013,5429.932506634934,9198.355526969015
2012-000008808 Aura Minerals Inc-f1-01971153_3-1-1,2012-09-04,FS,6415.4442,7030.068813281009,6230.000659957972,8114.212170125013,5429.932506634934,9198.355526969015
2012-000033595 Ivanplats Limited-f1-01959806_1-1-1,2012-09-05,PEA,6283.167,7031.90523144011,6231.628081630081,8116.331791848751,5431.350931820052,9200.758352257393
2012-000001767 Dundee Precious Metals Inc-f1-01959503_2-1-1,2012-09-07,,6613.86,7033.024572032323,6221.198046046439,8099.481355945505,5409.371520060555,9165.938139858687
2013-000006160 Catalyst Copper Corp-f1-02007057_1-1-1,2012-09-19,PEA,5952.474,7034.303818423424,6222.32962820817,8100.954581609409,5410.355437992916,9167.605344795393
2012-000008330 Queenston Mining Inc-f1-01979771_2-1-1,2012-09-20,,6613.86,7033.141266679921,6221.301270556205,8099.615745654069,5409.461274432489,9166.090224628217
2014-000008250 Northland Resources S.A-f1-02180596_1-1-1,2012-10-24,FS,6950.0,6997.9577364156785,6177.20406740585,8019.52949425578,5356.45039839602,9041.101252095883
2012-000008502 Entree Gold Inc-f1-01983697_3-1-1,2012-10-24,PEA,6613.86,6997.9577364156785,6177.20406740585,8019.52949425578,5356.45039839602,9041.101252095883
2012-000032329 Copper North Mining Corp-f1-01988874_1-1-1,2012-10-31,FS,7146.256077795786,6991.375601515348,6171.393916500398,8011.986490002739,5351.4122314854485,9032.59737849013
2012-000033594 IMX Resources Limited-f1-01981915_5-1-1,2012-11-05,PEA,7980.7244,6993.528818784976,6173.294594237667,8014.454036971688,5353.060369690358,9035.3792551584
2012-000003827 Wildcat Silver Corporation-f1-01981481_3-1-1,2012-11-12,PEA,7716.17,6995.989638521694,6175.466797365977,8017.27409065049,5354.943956210259,9038.558542779285
2012-000009131 Euromax Resources Ltd-f1-01995793_2-1-1,2012-12-05,PEA,6635.906199999999,6996.29175911139,6221.387447178096,7967.175057533494,5446.483135244804,8938.058355955596
2012-000026619 Crazy Horse Resources Inc-f1-01922019_3-1-1,2012-12-06,PFS,6613.86,6994.738044609025,6220.005820991778,7965.405732317224,5445.273597374531,8936.073420025423
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,8068.9092,6992.962370892036,6218.761373161456,7965.701268773349,5444.560375430876,8938.440166654662
2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,6062.705,6986.131913765662,6212.687125841701,7957.920677642995,5439.242337917742,8929.709441520328
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,7495.708,6985.322399452001,6215.654513995152,7949.138654984465,5445.986628538302,8912.954910516928
2013-000023684 Western Copper and Gold Corporation-f1-02014531_1-1-1,2013-01-25,FS,7022.0735812922085,6987.433167395616,6217.532709953258,7951.540661089951,5447.632252510899,8915.648154784285
2013-000029999 St. Augustine Gold and Copper Limited-f1-02126728_1-1-1,2013-02-25,PFS,6613.86,6975.767433916301,6206.705240306235,7923.274485393614,5437.643046696169,8870.781536870925
2013-000027259 Lumina Copper Corp-f1-02065843_2-1-1,2013-04-09,PEA,6062.705,6986.249831340349,6204.099560534703,7919.899532523906,5421.9492897290565,8853.549233707461
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,7165.014999999999,7002.016796284533,6223.111194923627,7933.63663724553,5444.205593562723,8865.256478206527
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,8157.094,7009.01954463167,6229.3349562915555,7941.571102766626,5449.650367951442,8874.122660901581
2013-000004926 AVINO SILVER & GOLD MINES LTD-f1-02086857_1-1-1,2013-07-19,PEA,7120.9226,6998.728095491629,6228.169714650223,7943.196852669571,5457.611333808816,8887.665609847512
2013-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-02129007_3-1-1,2013-08-01,PEA,6613.86,6982.131059948107,6266.567502447816,7901.342229020252,5551.003944947526,8820.553398092396
2013-000013198 Nevada Copper Corp-f1-02132890_1-1-1,2013-08-22,FS,7341.384599999999,6962.162626705919,6248.645533674113,7878.7449126036445,5535.128440642307,8795.327198501369
2013-000005673 Bellhaven Copper & Gold Inc-f1-02129085_1-1-1,2013-09-01,PEA,7165.014999999999,6948.370464306282,6248.858371843019,7851.786669056044,5549.346279379757,8755.202873805805
2013-000008633 Los Andes Copper Ltd-f1-02146428_1-1-1,2013-09-09,PEA,6062.705,6939.2432639764975,6254.145487867864,7854.294691698027,5569.047711759232,8769.346119419557
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,8157.094,6940.158880063903,6259.629017795161,7850.988327250599,5579.09915552642,8761.817774437295
2013-000006220 International Enexco Limited-f1-02119941_1-1-1,2013-10-01,PFS,7054.784,6941.205298449509,6260.5728277286935,7852.172078036826,5579.940357007878,8763.138857624142
2013-000005717 Belvedere Resources Ltd-f1-02118272_1-1-1,2013-10-02,PEA,6000.0,6942.401205175918,6261.651467652732,7853.52493607823,5580.901730129546,8764.648666980542
2013-000008938 THEMAC Resources Group Limited-f1-02135989_1-1-1,2013-10-07,FS,6613.86,6946.977660284525,6265.779170158039,7858.702007130749,5584.580680031554,8770.426353976973
2013-000033595 Ivanhoe Mines Ltd-f1-02141851_1-1-1,2013-11-15,PEA,6613.86,6971.160293324562,6302.494948712509,7867.32682278754,5633.829604100455,8763.493352250518
2014-000005967 Amerigo Resources Ltd-f1-02196760_1-1-1,2013-12-31,PEA,6503.629,7014.200806464867,6362.695521159349,7898.371144814624,5711.190235853831,8782.541483164381
2014-000005689 Capstone Mining Corp-f1-02202859_1-1-1,2014-01-01,PFS,6062.705,7013.176032342478,6361.765931901979,7897.21719348338,5710.35583146148,8781.258354624282
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,8024.8168,7010.112198899408,6358.986678803347,7893.767150587979,5707.861158707285,8777.42210227655
2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,7165.014999999999,7010.112198899408,6358.986678803347,7893.767150587979,5707.861158707285,8777.42210227655
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,8024.8168,7008.503337981955,6369.681195408242,7850.28751657255,5730.859052834529,8692.071695163144
2014-000015722 Platinum Group Metals Ltd-f1-02175498_1-1-1,2014-02-14,,7892.5396,7000.031085341538,6373.595202804635,7823.903926412148,5747.159320267731,8647.77676748276
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,6613.86,6977.516633830285,6373.424072483867,7797.630655145307,5769.33151113745,8617.744676460328
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,6746.1372,6969.1946140628725,6365.822548345587,7788.330492944837,5762.450482628302,8607.4663718268
2014-000009674 Mustang Minerals Corp-f1-02213716_1-1-1,2014-04-30,PEA,7495.708,6952.040967785867,6344.522115429712,7771.317272426271,5737.003263073559,8590.593577066677
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,6613.86,6953.258948137908,6334.045052378142,7778.296919384583,5714.831156618375,8603.334890631259
2014-000005689 Capstone Mining Corp-f1-02231705_2-1-1,2014-05-22,FS,6283.167,6952.523093991377,6333.374728814634,7777.47375256687,5714.22636363789,8602.424411142361
2014-000028675 Discovery Ventures Inc-f1-02215154_1-1-1,2014-05-26,,6071.103359647513,6952.870977790687,6333.691632251462,7777.862914469893,5714.512286712237,8602.854851149099
2014-000000204 GoldQuest Mining Corp-f1-02232713_1-1-1,2014-05-27,,7165.014999999999,6954.20753100056,6334.909160364449,7779.358056214576,5715.610789728338,8604.508581428592
"2014-000023134 General Moly, Inc-f1-02238615_2-1-1",2014-07-25,PFS,7165.014999999999,6939.582396771756,6316.826030199196,7758.377770097121,5694.069663626636,8577.173143422488
2014-000008483 Alacer Gold Corp-f1-02237181_1-1-1,2014-07-29,FS,7253.199799999999,6926.0807343118095,6290.6147904005375,7754.500045568262,5655.148846489266,8582.919356824714
2014-000023735 Duluth Metals Limited-f1-02265653_2-1-1,2014-08-20,,7716.17,6920.860580358031,6285.873584092167,7748.6555159381205,5650.886587826303,8576.450451518209
2014-000023934 Intrepid Mines Limited-f1-02266751_1-1-1,2014-09-25,,7716.17,6907.378742770656,6258.4159470778095,7742.562479853279,5609.453151384964,8577.746216935902
2014-000001767 Dundee Precious Metals Inc-f1-02266641_3-1-1,2014-09-30,,6062.705,6911.139867168144,6265.295349747208,7749.681495029308,5619.450832326272,8588.223122890473
2014-000031165 Mawson West Limited-f1-02295404_1-1-1,2014-11-30,FS,7100.0,6910.794354988068,6293.534450941952,7755.465360059799,5676.274546895835,8600.136365131531
2015-000004264 Global Minerals Ltd-f1-02302451_1-1-1,2014-12-12,,6613.86,6896.8634761256935,6280.84785349039,7739.831781211608,5664.832230855086,8582.800086297522
2015-000031453 Pilot Gold Inc-f1-02308581_1-1-1,2014-12-20,PEA,6393.397999999999,6896.1992767167585,6289.926882640711,7776.865327120471,5683.654488564663,8657.531377524183
2015-000024464 Wellgreen Platinum Ltd-f1-02304935_1-2-1,2015-02-02,PEA,6613.86,6850.710587016692,6262.76911575315,7743.393131196519,5674.827644489606,8636.075675376345
2015-000023269 INV Metals Inc-f1-02322965_1-1-1,2015-03-20,,6613.86,6815.77740016364,6238.450388331553,7690.2001957367565,5661.123376499467,8564.622991309872
2015-000019503 Panoro Minerals Ltd-f1-02354457_1-1-1,2015-05-01,PEA,7165.014999999999,6796.215716930966,6220.647675501465,7668.615183333965,5645.0796340719635,8541.014649736964
2015-000027965 Ecuador Gold and Copper Corp-f1-02358631_1-1-1,2015-05-19,PEA,7363.430799999999,6801.644070970401,6220.06793786229,7658.954255399611,5638.49180475418,8516.26443982882
