report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,1918.0194,2117.8489260915057,1937.4997880635772,2301.0050179719897,1757.1506500356488,2484.1611098524736
2021-000003353 Excellon Resources Inc-f1-03239357_1-1-1,2021-03-31,,1895.9732,2113.40373701394,1933.4331368546164,2296.1753994627084,1753.462536695293,2478.947061911477
2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021-03-31,,2116.4352,2113.40373701394,1933.4331368546164,2296.1753994627084,1753.462536695293,2478.947061911477
2021-000045902 NorZinc Ltd-f1-03299714_1-1-1,2021-10-15,,2314.851,2106.9036926525437,1927.4866151658146,2289.113217402246,1748.0695376790854,2471.322742151948
2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2094.389,2106.9770411267164,1927.5537175220843,2289.192909208896,1748.1303939174525,2471.4087772910752
2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,1970.0,2107.0608679543425,1927.6304059292502,2289.283985559353,1748.1999439041579,2471.507103164364
2022-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-03358989_1-1-1,2022-01-26,,2314.851,2107.0127440571814,1927.586380106916,2289.2316998049314,1748.160016156651,2471.4506555526814
2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2022-03-31,,2094.389,2107.206857017731,1927.7639630380177,2289.4426000682956,1748.3210690583041,2471.67834311886
2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,2116.4352,2114.4404976692,1934.381610338769,2297.3018213905425,1754.3227230083382,2480.163145111885
2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022-08-29,,2094.389,2114.618207812419,1934.5441872632048,2297.4949002859507,1754.4701667139907,2480.3715927594826
