report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2226.6662,2369.141778494503,2098.7297791037913,2722.2513546363134,1828.31777971308,3075.3609307781244
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2204.62,2424.925993118262,2130.3028101438754,2772.915657529618,1835.6796271694889,3120.9053219409743
2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2645.544,2439.7189904454654,2143.298490781563,2789.8315279631106,1846.8779911176607,3139.9440654807554
2017-000020943 Strongbow Exploration Inc-f1-02585313_1-2-1,2017-02-16,,1984.158,2442.7786881281513,2143.5061233050137,2802.543812457509,1844.2335584818763,3162.308936786866
2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2425.082,2446.275485479792,2146.5745169223424,2806.555607643412,1846.873548364893,3166.8357298070314
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2358.9434,2476.026156870748,2175.7061592503937,2840.35431479446,1875.3861616300392,3204.682472718173
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2358.9434,2476.026156870748,2175.7061592503937,2840.35431479446,1875.3861616300392,3204.682472718173
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,2425.082,2477.4487688046643,2170.658267705164,2837.2690969747514,1863.867766605663,3197.0894251448385
2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2645.544,2482.91450221019,2175.4471616492756,2843.5286639450433,1867.9798210883612,3204.1428256798968
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2766.93,2485.898351744313,2178.0615114361967,2846.945882569215,1870.224671128081,3207.993413394117
2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,2338.0,2486.526657231596,2178.6120118210233,2847.6654420470836,1870.6973664104512,3208.8042268625713
2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,2336.8972,2488.0653645473903,2179.9601760287615,2849.4276285234955,1871.8549875101326,3210.789892499601
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2755.775,2488.0653645473903,2179.9601760287615,2849.4276285234955,1871.8549875101326,3210.789892499601
2017-000043356 Titan Mining Corporation-f1-02662712_1-2-1,2017-08-17,,2314.851,2490.8992505955616,2179.8477426291183,2844.284112899857,1868.796234662675,3197.668975204153
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2535.313,2491.613664717169,2174.576959562095,2839.949548792449,1857.5402544070212,3188.2854328677295
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1944.0,2490.9603949148595,2174.006812801144,2839.2049496972604,1857.0532306874286,3187.4495044796613
2017-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02687669_1-1-1,2017-10-05,,2425.082,2494.643630124746,2177.2213875714965,2843.4031134497454,1859.7991450182476,3192.162596774745
2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017-10-21,,2204.62,2496.6454543360483,2178.9684966312334,2845.6847993491906,1861.291538926419,3194.724144362333
