report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,885.0,911.8018030513823,764.378912286827,1049.3861341074094,616.9560215222716,1186.9704651634363
2010-000011539 Alexis Minerals Corporation-f1-01571168_1-1-1,2010-04-01,PEA,1063.0,911.6558935209623,764.2565938533895,1049.2182078787657,616.8572941858167,1186.7805222365691
2010-000029807 Minera IRL Limited-f1-01570446_1-1-2,2010-04-06,,850.0,911.4891397719108,765.5105621158424,1046.2147909870998,619.5319844597739,1180.940442202289
2010-000005710 Fortune River Resource Corp-f1-01586604_1-1-1,2010-04-13,PEA,850.0,913.9904971427255,781.1990841830218,1042.6012626077459,648.407671223318,1171.2120280727659
2010-000014169 Rusoro Mining Ltd-f1-01579192_1-1-1,2010-04-21,PFS,950.0,914.1997100354243,781.5693422021166,1040.7935057994328,648.9389743688088,1167.387301563441
2010-000018939 Carpathian Gold Inc-f1-01585312_1-1-1,2010-04-23,PEA,900.0,913.6162876595325,781.0705616429605,1040.129294015836,648.5248356263885,1166.6423003721393
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,925.0,912.9056522183972,780.3531486945694,1036.0424273202084,647.8006451707415,1159.1792024220194
2010-000026272 Magellan Minerals Ltd-f1-01580466_1-1-1,2010-04-30,,950.0,912.9056522183972,780.3531486945694,1036.0424273202084,647.8006451707415,1159.1792024220194
2010-000015923 Keegan Resources Inc-f1-01585013_1-1-1,2010-05-01,PEA,850.0,912.9706977734064,780.4087497345417,1036.1162465090088,647.8468016956772,1159.2617952446112
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,900.0,912.819681209215,783.1170947871977,1035.0609869280947,653.4145083651804,1157.3022926469744
2010-000029039 Randgold Resources Limited-f1-01585423_2-1-1,2010-05-24,PFS,800.0,913.4554782679833,781.8658102474058,1034.0001489878691,650.2761422268281,1154.544819707755
2010-000029039 Randgold Resources Limited-f1-01590553_3-1-1,2010-05-31,PFS,800.0,913.8371656395997,782.1925128762365,1034.4322059501487,650.5478601128734,1155.027246260698
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,878.0,913.7971893023997,782.158295410778,1034.3869541129175,650.5194015191562,1154.976718923435
2010-000005241 Oromin Explorations Ltd-f1-01647230_1-7-1,2010-06-02,FS,880.0,913.7515020598854,782.1191897359681,1034.3352377275098,650.4868774120508,1154.9189733951343
2010-000005974 Sona Resources Corp. ( J-Pacific Gold Inc.)-f1-01597225_2-1-1,2010-06-10,PEA,950.0,915.1891842864251,782.4024365675516,1036.5180078279332,649.615688848678,1157.8468313694414
2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,1050.0,930.451179159978,816.2843459803134,1063.6578324883515,702.1175128006488,1196.864485816725
2010-000011539 Alexis Minerals Corporation-f1-01604138_2-1-1,2010-06-28,,1127.0,930.451179159978,816.2843459803134,1063.6578324883515,702.1175128006488,1196.864485816725
2010-000027114 Treasury Metals Inc-f1-01625565_1-1-1,2010-07-09,PEA,850.0,938.9839467988037,827.4039127227511,1068.380301813351,715.8238786466984,1197.7766568278985
2010-000025297 Sandstorm Resources Ltd-f1-01633095_2-1-1,2010-07-13,FS,1000.0,939.8933897948264,828.2052860538637,1069.4150702839786,716.517182312901,1198.9367507731308
2010-000017718 Kimber Resources Inc-f1-01607599_1-1-1,2010-07-16,PEA,875.0,941.0539052276614,829.2278967312631,1070.735510140931,717.4018882348646,1200.4171150542004
2010-000025315 Andean Resources Limited-f1-01608512_2-1-1,2010-07-20,FS,850.0,940.2044631173274,828.4793943440625,1069.7690109570997,716.7543255707976,1199.333558796872
2010-000002950 Tyhee Development Corp-f1-01633185_1-1-1,2010-07-22,PFS,950.0,939.4717673721836,827.8337652803986,1068.9353463305608,716.1957631886135,1198.398925288938
2010-000030732 Chalice Gold Mines Limited-f1-01663134_1-1-1,2010-07-27,FS,900.0,939.89630556821,828.2078553441211,1069.4183878644958,716.5194051200323,1198.9404701607814
2010-000000343 Pediment Gold Corp-f1-01616509_1-1-1,2010-08-02,PEA,900.0,940.340023487649,827.9802480557812,1067.075828842729,715.6204726239134,1193.8116341978089
2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,1000.0,953.0149517698846,844.0180235793157,1077.3594294361376,735.0210953887469,1201.7039071023903
2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,907.0,956.6722375029942,845.4968599647016,1089.4478661203584,734.3214824264089,1222.2234947377226
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1000.0,955.3375640362957,841.3376571552213,1090.614860046011,727.337750274147,1225.8921560557262
