report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024,2024-09-05,New Pacific Metals Corp,PEA,2,zinc_concentrate,zinc,175,,,0.5,,,45.8,356,,10,,85,70,
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2024,2023-09-30,First Quantum Minerals Ltd,FS,2,zinc_concentrate,zinc,,,,,,,99.995,,,,,100,,
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024,2024-02-16,Discovery Silver Corp,FS,2,zinc_concentrate,zinc,223.0400357,,0,,,,52.66,240,0.46,10.33,,85,70,70
2024-000007638 Southern Silver Exploration Corp-f1-06158987_1-1-1,2024,2024-06-04,Southern Silver Exploration Corp,PEA,2,zinc_concentrate,zinc,,,,,,,54,,,8.5,,85,70,
2024-000008916 Tinka Resources Limited-f1-06113611_1-1-1,2024,2024-02-28,Tinka Resources Limited,PEA,1,zinc_concentrate,zinc,220,,,,,,50,,,10,,85,,
2024-000031923 Rokmaster Resources Corp-f1-06083588_1-1-1,2024,2023-12-29,Rokmaster Resources Corp,PEA,2,zinc_concentrate,zinc,285,,,1.2,5,,54,65,1.72,12,,85,70,70
2024-000032350 Atico Mining Corporation-f1-06168420_2-1-1,2024,2024-07-02,Atico Mining Corporation,FS,2,zinc_concentrate,zinc,160,,,,,4.64,41.4,166,18.8,9,,85,,
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024,2024-05-15,Silver Mountain Resources Inc,PEA,2,zinc_concentrate,zinc,227,,,,,0.18,53.45,4.6,0.69,8.25,,85,70,65
2024-000054671 Aardvark 2 Capital Corp-f1-06206632_1-1-1,2024,2024-05-24,Aardvark 2 Capital Corp,PEA,2,zinc_concentrate,zinc,230,,,,,,53,,,9,,85,,
2025-000008811 Foran Mining Corporation-f1-06252011_1-1-1,2025,2024-11-16,Foran Mining Corporation,FS,2,zinc_concentrate,zinc,120,,,,,,47.1,,0.7,9,,85,,
2025-000020943 Cornish Metals Inc-f1-06343317_1-3-1,2025,2025-09-29,Cornish Metals Inc,PEA,3,zinc_concentrate,zinc,,,,,,,,,,,,,,
2025-000025425 Blue Moon Metals Inc-f1-06337712_3-1-1,2025,2025-03-03,Blue Moon Metals Inc,PEA,1,zinc_concentrate,zinc,165,,,,,0.39,62.3,44.8,0.56,8,,87.16,90,96
2025-000029200 Silver X Mining Corp-f1-06348374_1-1-1,2025,2025-05-31,Silver X Mining Corp,PEA,2,zinc_concentrate,zinc,,,,,,,,,,,,85,70,
2025-000039579 BMC Minerals Ltd-f1-06266600_1-1-1,2025,2025-03-01,BMC Minerals Ltd,FS,3,zinc_concentrate,zinc,,,,,,,52,,,,,,,
2025-000053244 Canadian Copper Inc-f1-06307870_1-1-1,2025,2025-07-07,Canadian Copper Inc,PEA,1,zinc_concentrate,zinc,175,,0,,,,48,,,8.5,,85,,
